method,text,alpha,nominal,coverage,width
Naive,no_text,0.1,0.9,0.2043,218.04
Naive,no_text,0.2,0.8,0.175,178.92
Naive,no_text,0.3,0.7,0.1421,141.82
Naive,with_text,0.1,0.9,0.2177,233.46
Naive,with_text,0.2,0.8,0.1866,193.19
Naive,with_text,0.3,0.7,0.1512,154.91
CQR,no_text,0.1,0.9,0.9884,3032.15
CQR,no_text,0.2,0.8,0.9659,1994.03
CQR,no_text,0.3,0.7,0.9396,1439.01
CQR,with_text,0.1,0.9,0.9915,3789.1
CQR,with_text,0.2,0.8,0.9726,2399.12
CQR,with_text,0.3,0.7,0.9451,1702.63
Codebook-CQR,no_text,0.1,0.9,0.8787,1373.4
Codebook-CQR,no_text,0.2,0.8,0.847,1149.66
Codebook-CQR,no_text,0.3,0.7,0.7616,800.04
Codebook-CQR,with_text,0.1,0.9,0.9018,1682.54
Codebook-CQR,with_text,0.2,0.8,0.8677,1309.54
Codebook-CQR,with_text,0.3,0.7,0.8226,1047.2
Text-CQR,with_text,0.1,0.9,0.9921,3860.34
Text-CQR,with_text,0.2,0.8,0.975,2500.03
Text-CQR,with_text,0.3,0.7,0.9451,1696.97
