regime,window_idx,text,truth_mean,median_mean,bias_signed,sample_std,sample_range,cov@0.1,cov@0.2,cov@0.3
falling,0,no_text,1983.25,2244.160400390625,260.91046142578125,168.85765075683594,1442.994140625,0.0,0.0,0.0
falling,0,with_text,1983.25,2592.116455078125,608.866455078125,470.1599426269531,1972.754150390625,0.0,0.0,0.0
falling,408,no_text,123.0,173.75845336914062,50.75845718383789,31.25408172607422,228.05638122558594,0.0,0.0,0.0
falling,408,with_text,123.0,173.4796142578125,50.47960662841797,40.36030960083008,330.07257080078125,0.0,0.0,0.0
stable,13,no_text,4223.0,4955.12255859375,732.1224365234375,551.8967895507812,3209.0,0.0,0.0,0.0
stable,13,with_text,4223.0,4849.54638671875,626.5462646484375,670.5924682617188,3214.77587890625,0.5,0.5,0.5
stable,409,no_text,118.75,150.8575897216797,32.10759353637695,18.5388240814209,156.031982421875,0.0,0.0,0.0
stable,409,with_text,118.75,152.5135955810547,33.76359558105469,11.931037902832031,80.00320434570312,0.0,0.0,0.0
rising,6,no_text,3555.25,1861.3934326171875,-1693.8565673828125,76.88009643554688,336.44091796875,0.0,0.0,0.0
rising,6,with_text,3555.25,1931.701904296875,-1623.548095703125,84.4261474609375,453.35107421875,0.0,0.0,0.0
rising,392,no_text,681.25,668.0228271484375,-13.227188110351562,53.23273468017578,284.419189453125,1.0,1.0,1.0
rising,392,with_text,681.25,673.716796875,-7.533172607421875,46.274269104003906,190.07037353515625,1.0,1.0,1.0
