method,text,alpha,nominal,coverage,width
Naive,no_text,0.1,0.9,0.7592,125.72
Naive,no_text,0.2,0.8,0.6565,99.76
Naive,no_text,0.3,0.7,0.5715,80.92
Naive,with_text,0.1,0.9,0.7629,92.36
Naive,with_text,0.2,0.8,0.6602,69.99
Naive,with_text,0.3,0.7,0.5744,56.3
CQR,no_text,0.1,0.9,0.996,554.59
CQR,no_text,0.2,0.8,0.9883,397.8
CQR,no_text,0.3,0.7,0.9712,308.62
CQR,with_text,0.1,0.9,0.9954,499.79
CQR,with_text,0.2,0.8,0.9823,319.52
CQR,with_text,0.3,0.7,0.9715,266.21
Codebook-CQR,no_text,0.1,0.9,0.9958,567.04
Codebook-CQR,no_text,0.2,0.8,0.984,393.08
Codebook-CQR,no_text,0.3,0.7,0.9685,304.02
Codebook-CQR,with_text,0.1,0.9,0.994,494.08
Codebook-CQR,with_text,0.2,0.8,0.9817,333.28
Codebook-CQR,with_text,0.3,0.7,0.9648,243.51
Text-CQR,with_text,0.1,0.9,0.9998,1427.0
Text-CQR,with_text,0.2,0.8,1.0,1608.47
Text-CQR,with_text,0.3,0.7,1.0,1622.09
PID,no_text,0.1,0.9,0.994,605.05
PID,no_text,0.2,0.8,0.9856,467.88
PID,no_text,0.3,0.7,0.9727,365.03
PID,with_text,0.1,0.9,0.9929,547.99
PID,with_text,0.2,0.8,0.984,388.16
PID,with_text,0.3,0.7,0.9712,301.47
Naive,shuffled_text,0.1,0.9,0.7573,90.67
Naive,shuffled_text,0.2,0.8,0.6538,69.72
Naive,shuffled_text,0.3,0.7,0.5663,56.16
CQR,shuffled_text,0.1,0.9,0.9954,505.65
CQR,shuffled_text,0.2,0.8,0.9817,316.13
CQR,shuffled_text,0.3,0.7,0.9675,246.7
Codebook-CQR,shuffled_text,0.1,0.9,0.9942,498.82
Codebook-CQR,shuffled_text,0.2,0.8,0.979,314.45
Codebook-CQR,shuffled_text,0.3,0.7,0.9642,231.54
Text-CQR,shuffled_text,0.1,0.9,0.9998,1444.94
Text-CQR,shuffled_text,0.2,0.8,0.9998,1440.51
Text-CQR,shuffled_text,0.3,0.7,1.0,1621.95
Naive,random_text,0.1,0.9,0.6031,84.46
Naive,random_text,0.2,0.8,0.5123,63.41
Naive,random_text,0.3,0.7,0.4375,48.99
CQR,random_text,0.1,0.9,0.996,555.84
CQR,random_text,0.2,0.8,0.99,422.45
CQR,random_text,0.3,0.7,0.9783,324.81
Codebook-CQR,random_text,0.1,0.9,0.9956,555.7
Codebook-CQR,random_text,0.2,0.8,0.9871,425.65
Codebook-CQR,random_text,0.3,0.7,0.9758,333.9
PID,random_text,0.1,0.9,0.9944,601.59
PID,random_text,0.2,0.8,0.9894,475.05
PID,random_text,0.3,0.7,0.9802,390.28
